Title,Id,ReleaseDate
X-Men: Days of Future Past,127585,2014-05-23
Captain America: The Winter Soldier,100402,2014-04-04
A Million Ways to Die in the West,188161,2014-05-30
Godzilla,124905,2014-05-16
The Amazing Spider-Man 2,102382,2014-05-02
The Expendables 3,138103,2014-08-15
Maleficent,102651,2014-05-28
Divergent,157350,2014-05-08
Edge of Tomorrow,137113,2014-06-06
Neighbors,195589,2014-05-09
How to Train Your Dragon 2,82702,2014-06-13
Frozen,109445,2013-11-19
Blended,232672,2014-05-23
Guardians of the Galaxy,118340,2014-08-01
Need for Speed,136797,2014-03-14
Chef,212778,2014-05-09
The Fault in Our Stars,222935,2014-05-16
The Lego Movie,137106,2014-02-07
300: Rise of an Empire,53182,2014-03-07
Noah,86834,2014-03-26
The Rover,157845,2014-06-12
Sabotage,144336,2014-03-28
Pretty Baby,26973,1978-04-05
"Love, Speed & Loss",144503,2006-09-20
The Prince,241254,2014-08-22
Draft Day,200505,2014-04-11
Sin City: A Dame to Kill For,189,2014-08-22
Street Fighter: Assassin's Fist,276690,2014-05-23
Leprechaun: Origins,126172,2014-08-22
Despicable Me,20352,2010-07-08
3 Days to Kill,192102,2014-02-14
The Other Woman,193610,2014-04-25
A Haunted House 2,184345,2014-04-18
Drive Hard,256092,2014-05-26
In the Name of the King III,252360,2014-02-05
The Zero Theorem,157834,2013-09-02
Non-Stop,225574,2014-02-28
Transcendence,157353,2014-04-17
Rio 2,172385,2014-04-11
Riddick,87421,2013-09-06
Snowpiercer,110415,2013-08-01
RoboCop,97020,2014-02-07
The Hunger Games: Catching Fire,101299,2013-11-22
Thor: The Dark World,76338,2013-11-08
Transformers: Age of Extinction,91314,2014-06-27
Born to Race: Fast Track,213927,2014-03-20
The Outsider,241765,2014-02-07
The Pirate Fairy,175112,2014-04-01
Muppets Most Wanted,145220,2014-03-21
The Hobbit: The Desolation of Smaug,57158,2013-12-13
Thor,10195,2011-05-06
The Hunger Games: Mockingjay - Part 1,131631,2014-11-21
The Amazing Spider-Man,1930,2012-07-04
Pacific Rim,68726,2013-07-12
Belle,205601,2014-05-01
鋼の錬金術師 嘆きの丘（ミロス）の聖なる星,80518,2011-07-02
Julio Sumiu,227929,2014-01-10
Brick Mansions,254473,2014-04-25
Welcome To The Jungle,205724,2014-02-07
The Conjuring,138843,2013-07-19
Meet the Robinsons,1267,2007-03-28
Love Punch,209249,2013-09-12
The Monuments Men,152760,2014-02-20
The Contractor,15071,2007-07-10
Pompeii,76649,2014-02-21
Lucy,240832,2014-07-25
Very Good Girls,70706,2014-07-25
Barbie and the Secret Door,285733,2014-09-16
The Mummy Resurrected,268508,2014-03-01
警察故事,9056,1985-12-14
The Internship,116741,2013-06-07
Jack Ryan: Shadow Recruit,137094,2014-01-17
Mr. Peabody & Sherman,82703,2014-01-01
A Grande Vitória,254436,2014-05-08
Are You Here,209244,2014-08-22
Fast & Furious 6,82992,2013-05-22
Kid Cannabis,212231,2014-04-18
The Legend of Hercules,188207,2014-01-10
The Wolf of Wall Street,106646,2013-12-25
Fading Gigolo,214030,2013-09-07
The Avengers,24428,2012-05-04
Adult World,143049,2014-02-14
Starred Up,209276,2013-10-10
The Possession of Michael King,272692,2014-08-22
Tekken: A Man Called X,286548,2014-08-12
Feral,234564,2013-04-01
The Grand Budapest Hotel,120467,2014-03-07
Hot Tub Time Machine,23048,2010-03-26
Haunted House,288711,1940-07-21
Familia,42052,2005-09-15
Premature,253310,2014-07-02
Belle et Sébastien,204668,2013-12-18
The Passion of the Christ,615,2004-02-25
Olsen Banden på dybt vand,207323,2013-10-09
Fact or Fiction: The Life & Times of a Ping Pong Hustler,290763,2014-08-01
Men O'War,48888,1929-06-29
Tarzan,230222,2013-10-17
Man of Steel,49521,2013-06-14
Django Unchained,68718,2012-12-25
Khumba,172391,2013-10-25
Seed 2: The New Breed,283327,2014-07-25
John Doe: Vigilante,253849,2014-03-21
The Nut Job,227783,2014-01-16
47 Ronin,64686,2013-12-25
L'Amour Est un Crime Parfait,214093,2013-09-07
Behaving Badly,259018,2014-09-05
The Dark Knight,155,2008-07-18
Minutos Atrás,260953,2014-03-20
Legends of Oz: Dorothy's Return,59981,2014-05-09
Walking With Dinosaurs,77951,2013-12-20
Age of Tomorrow,275619,2014-06-10
Think Like a Man Too,184098,2014-06-20
Skyfall,37724,2012-11-10
Avatar,19995,2009-12-18
Step Up All In,243683,2014-07-25
Iron Man 3,68721,2013-05-03
Tokarev,242310,2014-05-09
The Dark Knight Rises,49026,2012-07-20
Bethlehem,215935,2014-03-07
Her,152601,2013-12-18
Iron Man,1726,2008-05-01
The Legend of Sarila,233423,2013-02-22
American Reunion,71552,2012-04-06
The Secret Life of Walter Mitty,116745,2013-12-25
Captain America: The First Avenger,1771,2011-07-22
Wreck-It Ralph,82690,2012-11-02
The Immigrant,152599,2013-11-27
Bad Words,209403,2014-03-14
Iron Man 2,10138,2010-05-07
Goal of the Dead,273467,2014-02-27
They Came Together,180296,2014-06-27
Star Wars: Episode IV - A New Hope,11,1977-05-25
Carrie,133805,2013-10-18
Escape Plan,107846,2013-10-18
Gravity,49047,2013-10-04
All Cheerleaders Die,210908,2013-10-31
A Goofy Movie,15789,1995-04-07
Ender's Game,80274,2013-11-01
Long Way Down,62241,2010-11-30
Les grandes ondes (à l'ouest),217337,2013-08-11
Heaven Is for Real,236751,2014-04-16
Free Birds,175574,2013-11-01
Into Pitch Black,244839,2000-01-30
The Expendables 2,76163,2012-08-17
The Lord of the Rings: The Fellowship of the Ring,120,2001-12-19
Walk of Shame,187596,2014-05-02
Copa de Elite,243451,2014-04-18
Calvary,157832,2014-04-11
Oblivion,75612,2013-04-18
Elysium,68724,2013-08-09
War Story,246013,2014-01-19
Despicable Me 2,93456,2013-07-02
Teenage Mutant Ninja Turtles,98566,2014-08-08
Heatstroke,278334,2014-07-04
Second Chances,212762,2013-07-27
12 Years a Slave,76203,2013-10-30
Locke,210479,2014-04-18
Jack et la mécanique du coeur,204436,2014-09-24
The Hobbit: An Unexpected Journey,49051,2012-12-14
Caligola,9453,1979-08-14
2 Guns,136400,2013-08-02
Frontera,259611,2014-09-05
Spider-Man,557,2002-05-02
Cloudy with a Chance of Meatballs 2,109451,2013-09-27
Pirates of the Caribbean: The Curse of the Black Pearl,22,2003-07-09
Underworld: Awakening,52520,2012-01-18
Swelter,256687,2014-06-18
Dawn of the Planet of the Apes,119450,2014-07-11
Cirque du Freak: The Vampire's Assistant,24418,2009-10-23
Terminator: Genisys,87101,2015-07-01
World War Z,72190,2013-06-21
Rob the Mob,243935,2014-03-21
The Purge: Anarchy,238636,2014-07-18
Night Moves,157823,2014-05-20
Dragonwolf,238301,2013-10-30
Hercules,184315,2014-07-25
The Angriest Man in Brooklyn,152790,2014-05-23
Terminator Salvation,534,2009-05-20
Grudge Match,64807,2013-12-25
A Good Day to Die Hard,47964,2013-02-14
S.O.S Mulheres ao Mar,227961,2014-01-24
Alemão,227933,2014-02-07
Evil Feed,224951,2013-10-23
Inception,27205,2010-07-16
The Look of Love,158914,2013-04-26
A Case of You,174316,2013-11-06
Hammer of the Gods,192538,2013-07-05
How to Train Your Dragon,10191,2010-03-24
Monsters University,62211,2013-06-21
"King Crimson: Live in Argentina, 1994",290784,2012-01-01
Madagascar 3: Europe's Most Wanted,80321,2012-06-08
The Croods,49519,2013-03-21
Barbie: A Fashion Fairytale,44874,2010-09-14
The Last Light,273743,2014-06-01
Taken 2,82675,2012-10-04
Lone Survivor,193756,2013-12-24
Percy Jackson: Sea of Monsters,76285,2013-08-07
Rio,46195,2011-04-15
劇場版 仮面ライダー鎧武 サッカー大決戦!黄金の果実争奪杯!,272158,2014-06-19
The Lord of the Rings: The Two Towers,121,2002-12-18
